k,arm,selection_share,method,median_m,effect_pct,draw_min_m,draw_max_m,draws,range_status,source_file,source_line
10,random,0.375,ABS,789.0,23.1,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,163
10,random,0.375,DIFF,1083.0,12.4,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,163
10,random,0.375,Min-Max,736.0,57.9,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,163
11,top,0.726,WCL,2287.0,282.6,1846.0,2745.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,164
11,top,0.726,ABS,1176.0,83.4,1094.0,1442.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,164
11,top,0.726,DIFF,1473.0,52.8,1388.0,1749.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,164
11,top,0.726,Min-Max,1575.0,238.0,1178.0,1912.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,164
11,bottom,0.07,WCL,601.0,0.6,601.0,601.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,166
11,bottom,0.07,ABS,647.0,0.9,646.0,648.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,166
11,bottom,0.07,DIFF,961.0,-0.3,952.0,979.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,166
11,bottom,0.07,Min-Max,471.0,1.0,461.0,476.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,166
11,random,0.392,WCL,881.0,47.4,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,168
11,random,0.392,ABS,842.0,31.4,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,168
11,random,0.392,DIFF,1043.0,8.2,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,168
11,random,0.392,Min-Max,755.0,62.1,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,168
12,top,0.769,WCL,2654.0,344.1,2223.0,3199.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,169
12,top,0.769,ABS,1320.0,105.9,1217.0,1441.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,169
12,top,0.769,DIFF,1623.0,68.3,1548.0,1780.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,169
12,top,0.769,Min-Max,1712.0,267.4,1411.0,2263.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,169
12,bottom,0.092,WCL,622.0,4.1,618.0,624.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,171
12,bottom,0.092,ABS,680.0,6.0,672.0,681.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,171
12,bottom,0.092,DIFF,986.0,2.3,956.0,996.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,171
12,bottom,0.092,Min-Max,494.0,5.9,488.0,500.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,171
12,random,0.443,WCL,894.0,49.6,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,173
12,random,0.443,ABS,783.0,22.2,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,173
12,random,0.443,DIFF,1038.0,7.7,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,173
12,random,0.443,Min-Max,805.0,72.7,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,173
13,top,0.812,WCL,2412.0,303.6,1856.0,3754.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,174
13,top,0.812,ABS,1284.0,100.3,1203.0,1488.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,174
13,top,0.812,DIFF,1691.0,75.4,1538.0,2006.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,174
13,top,0.812,Min-Max,1914.0,310.8,1223.0,2800.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,174
13,bottom,0.114,WCL,623.0,4.2,618.0,624.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,176
