stage,substrate,exponent,method,condition,reference_m,median_m,min_m,max_m,replicates,effect_pct,min_pct,max_pct,precision
exact7,official26_common_minus71,4.7,DIFF,fraction_f7_D10000,1048.1528987926704,838.5446472132228,734.9293709273186,984.2417615296614,8,-19.997869759353602,-29.883381348860716,-6.09750136040514,full precision derived from retained author NPZ
exact7,official26_common_minus71,4.7,Min-Max,fraction_f7_D10000,480.5742969155297,676.4758458604033,567.1555571763853,767.7008361403407,8,40.76405047091128,18.01620702908169,59.74654513728167,full precision derived from retained author NPZ
g5,recovered29,3.5,WCL,reference,584.3011457663958,584.3011457663958,584.3011457663958,584.3011457663958,1,0.0,0.0,0.0,full precision derived from retained author NPZ
g5,recovered29,3.5,ABS,reference,660.8163328599535,660.8163328599535,660.8163328599535,660.8163328599535,1,0.0,0.0,0.0,full precision derived from retained author NPZ
g5,recovered29,3.5,DIFF,reference,965.3007810524468,965.3007810524468,965.3007810524468,965.3007810524468,1,0.0,0.0,0.0,full precision derived from retained author NPZ
g5,recovered29,3.5,Min-Max,reference,489.8414146431944,489.8414146431944,489.8414146431944,489.8414146431944,1,0.0,0.0,0.0,full precision derived from retained author NPZ
g5,recovered29,3.5,WCL,fraction_f1_D10000,584.3011457663958,587.4483854758339,584.3011457663958,612.7354048302859,8,0.5386331572754306,0.0,4.8663705813197415,full precision derived from retained author NPZ
g5,recovered29,3.5,ABS,fraction_f1_D10000,660.8163328599535,662.7865959774207,661.5707313072942,688.4351593878607,8,0.298155935241503,0.11416159223482301,4.179501194889576,full precision derived from retained author NPZ
g5,recovered29,3.5,DIFF,fraction_f1_D10000,965.3007810524468,960.7133708469623,910.0554434293867,1013.8289875199974,8,-0.4752311710017418,-5.723121612190895,5.0272627371793215,full precision derived from retained author NPZ
g5,recovered29,3.5,Min-Max,fraction_f1_D10000,489.8414146431944,491.0299822084121,489.8414146431944,572.0494339348543,8,0.2426433391883466,0.0,16.78257836805021,full precision derived from retained author NPZ
g5,recovered29,3.5,WCL,fraction_f29_D10000,584.3011457663958,5506.251595334099,4798.161152991143,7152.107725746593,8,842.3653599227243,721.1794872826507,1124.0447888161445,full precision derived from retained author NPZ
g5,recovered29,3.5,ABS,fraction_f29_D10000,660.8163328599535,3344.693728865287,2900.5808661782276,4104.0194872190195,8,406.14574164499754,338.9390397820186,521.0529738962706,full precision derived from retained author NPZ
g5,recovered29,3.5,DIFF,fraction_f29_D10000,965.3007810524468,3691.0427624808294,3161.451456142261,4842.854097538371,8,282.37229627604404,227.5094683643991,401.6937925045819,full precision derived from retained author NPZ
g5,recovered29,3.5,Min-Max,fraction_f29_D10000,489.8414146431944,3479.4497668082927,2629.658401904976,4938.786283206915,8,610.3216801998582,436.8387243901063,908.2418790180039,full precision derived from retained author NPZ
g5,recovered29,3.5,WCL,top6_D5000,584.3011457663958,865.5562357221626,810.2850034794434,875.9342612993457,8,48.13529666912766,38.675922398994594,49.91143995626274,full precision derived from retained author NPZ
g5,recovered29,3.5,ABS,top6_D5000,660.8163328599535,977.2933613319542,897.6571720524958,1024.2308790048073,8,47.891829050640546,35.84064548881782,54.99478872927193,full precision derived from retained author NPZ
g5,recovered29,3.5,DIFF,top6_D5000,965.3007810524468,1185.4368612002231,1135.6144878542686,1303.802277988563,8,22.804920960259313,17.64358945365531,35.06694530662818,full precision derived from retained author NPZ
g5,recovered29,3.5,Min-Max,top6_D5000,489.8414146431944,1033.1852793523315,897.9221839585506,1164.6546656128644,8,110.92240232584547,83.30875199938055,137.76157564407066,full precision derived from retained author NPZ
g5,recovered29,3.5,WCL,top7_D5000,584.3011457663958,2004.7703718646408,1804.1710891724688,2298.463832614062,8,243.1056718595157,208.7741830124321,293.36972882353206,full precision derived from retained author NPZ
g5,recovered29,3.5,ABS,top7_D5000,660.8163328599535,1205.4061031519957,1114.9993961020868,1304.5920265817463,8,82.41166920543668,68.73060495894072,97.42127452201274,full precision derived from retained author NPZ
g5,recovered29,3.5,DIFF,top7_D5000,965.3007810524468,1611.651888380966,1391.0348075601005,1741.887192367231,8,66.9585190456198,44.10376898726684,80.45020024412375,full precision derived from retained author NPZ
g5,recovered29,3.5,Min-Max,top7_D5000,489.8414146431944,1834.981708946552,1589.1051593130783,2179.7157684986173,8,274.6073023007195,224.41216928760485,344.9839689619435,full precision derived from retained author NPZ
g5,recovered29,3.5,WCL,legacy_iso,584.3011457663958,683.162667676098,540.5043607535465,804.645345835131,8,16.91961801307626,-7.495584311306372,37.71072531095618,full precision derived from retained author NPZ
g5,recovered29,3.5,ABS,legacy_iso,660.8163328599535,692.4107219558725,543.0172848791983,827.7100684729771,8,4.781115042841234,-17.826291833758333,25.255691682244382,full precision derived from retained author NPZ
g5,recovered29,3.5,DIFF,legacy_iso,965.3007810524468,1176.9563294459788,849.8614441593213,1269.574168687728,8,21.926383211123937,-11.958898113318057,31.521096181393155,full precision derived from retained author NPZ
g5,recovered29,3.5,Min-Max,legacy_iso,489.8414146431944,536.8155516475101,466.0931055309061,608.6396140676679,8,9.589662204967327,-4.848162773167483,24.252379621883826,full precision derived from retained author NPZ
g5,recovered29,3.5,WCL,opcenter_exact_iso,584.3011457663958,603.0671090411752,531.3814817488325,654.0877044645013,8,3.211693732033511,-9.056916010005688,11.94359436118685,full precision derived from retained author NPZ
g5,recovered29,3.5,ABS,opcenter_exact_iso,660.8163328599535,676.3483050499553,639.707176305671,695.4676726575326,8,2.3504219580622165,-3.1944059952216843,5.243717213769708,full precision derived from retained author NPZ
g5,recovered29,3.5,DIFF,opcenter_exact_iso,965.3007810524468,1004.985118740508,880.8219798487821,1126.2930744718756,8,4.111085214786028,-8.751552144354351,16.677940863561954,full precision derived from retained author NPZ
