case_id,bin_center,tolerance,accepted_index,proposal_index,k,exact_S,selected_reception_numerator,denominator,receiver_ids,displacement_m,direction_seed,direction_realizations_per_subset,subset_rng_seed,method,reference_m,median_error_m,change_pct,raw_npz,raw_sha256,provenance
bin20_subset2,0.2,0.025,2,32,7,0.18174157303370786,1941,10680,1;5;7;17;20;41;50,5000,6702,1,6606,DIFF,963.9527294582572,1130.3374778399111,17.260675061853124,raw/bin20_subset2.npz,e3f81becacc9736dabbc3c16bda027d384c7d03bd2d976e6c2bf085c8a95ae9e,RC5 same-design reporting recovery; assistant runtime
bin20_subset2,0.2,0.025,2,32,7,0.18174157303370786,1941,10680,1;5;7;17;20;41;50,5000,6702,1,6606,Min-Max,466.0055266886784,513.9265405018234,10.283357399999105,raw/bin20_subset2.npz,e3f81becacc9736dabbc3c16bda027d384c7d03bd2d976e6c2bf085c8a95ae9e,RC5 same-design reporting recovery; assistant runtime
bin20_subset3,0.2,0.025,3,43,6,0.19728464419475655,2107,10680,6;12;15;18;69;71,5000,6703,1,6606,WCL,597.6726773741443,601.4837485508406,0.6376518989357315,raw/bin20_subset3.npz,60d594c71dcac923c11b5b923d6567e7bc34b0ed40d73bd1810c3de755007cd5,RC5 same-design reporting recovery; assistant runtime
bin20_subset3,0.2,0.025,3,43,6,0.19728464419475655,2107,10680,6;12;15;18;69;71,5000,6703,1,6606,ABS,641.0128583782526,723.3285230648896,12.841499762562277,raw/bin20_subset3.npz,60d594c71dcac923c11b5b923d6567e7bc34b0ed40d73bd1810c3de755007cd5,RC5 same-design reporting recovery; assistant runtime
bin20_subset3,0.2,0.025,3,43,6,0.19728464419475655,2107,10680,6;12;15;18;69;71,5000,6703,1,6606,DIFF,963.9527294582572,934.1438387446638,-3.0923602167033715,raw/bin20_subset3.npz,60d594c71dcac923c11b5b923d6567e7bc34b0ed40d73bd1810c3de755007cd5,RC5 same-design reporting recovery; assistant runtime
bin20_subset3,0.2,0.025,3,43,6,0.19728464419475655,2107,10680,6;12;15;18;69;71,5000,6703,1,6606,Min-Max,466.0055266886784,572.4926236011306,22.851037340506142,raw/bin20_subset3.npz,60d594c71dcac923c11b5b923d6567e7bc34b0ed40d73bd1810c3de755007cd5,RC5 same-design reporting recovery; assistant runtime
bin20_subset4,0.2,0.025,4,68,6,0.19288389513108614,2060,10680,4;6;19;23;41;69,5000,6704,1,6606,WCL,597.6726773741443,601.1495564551511,0.5817363270280934,raw/bin20_subset4.npz,7e03b2fb3147f9c3ad504b12f2444b53762b2a99488135ab9ca95eeb1bd6e5b9,RC5 same-design reporting recovery; assistant runtime
bin20_subset4,0.2,0.025,4,68,6,0.19288389513108614,2060,10680,4;6;19;23;41;69,5000,6704,1,6606,ABS,641.0128583782526,741.6220087522311,15.695340438024472,raw/bin20_subset4.npz,7e03b2fb3147f9c3ad504b12f2444b53762b2a99488135ab9ca95eeb1bd6e5b9,RC5 same-design reporting recovery; assistant runtime
bin20_subset4,0.2,0.025,4,68,6,0.19288389513108614,2060,10680,4;6;19;23;41;69,5000,6704,1,6606,DIFF,963.9527294582572,965.6897840919714,0.18020122570641806,raw/bin20_subset4.npz,7e03b2fb3147f9c3ad504b12f2444b53762b2a99488135ab9ca95eeb1bd6e5b9,RC5 same-design reporting recovery; assistant runtime
bin20_subset4,0.2,0.025,4,68,6,0.19288389513108614,2060,10680,4;6;19;23;41;69,5000,6704,1,6606,Min-Max,466.0055266886784,626.2147363276179,34.379250988147504,raw/bin20_subset4.npz,7e03b2fb3147f9c3ad504b12f2444b53762b2a99488135ab9ca95eeb1bd6e5b9,RC5 same-design reporting recovery; assistant runtime
