population=2498 receivers=29 max_gws=10 tau=3.0
conditions=483 total_condition_message_hits_lt2=19695
max_condition_lt2_pct=11.128903
verdict=OPEN: fallback invoked; regenerate affected DIFF outputs

condition,max_gws,messages,zero,one,lt2,lt2_pct,min,median,max
E1_D2500_f14_draw2,10,2498,8,7,15,0.600480,0,5.0,44
E1_D2500_f14_draw3,10,2498,11,13,24,0.960769,0,5.0,44
E1_D2500_f14_draw4,10,2498,2,6,8,0.320256,0,5.0,44
E1_D2500_f14_draw5,10,2498,2,2,4,0.160128,0,5.0,44
E1_D2500_f14_draw6,10,2498,6,4,10,0.400320,0,5.0,44
E1_D2500_f14_draw7,10,2498,11,8,19,0.760608,0,5.0,45
E1_D2500_f21_draw0,10,2498,17,21,38,1.521217,0,5.0,44
E1_D2500_f21_draw1,10,2498,6,7,13,0.520416,0,5.0,45
E1_D2500_f21_draw2,10,2498,4,9,13,0.520416,0,5.0,44
E1_D2500_f21_draw3,10,2498,11,10,21,0.840673,0,5.0,44
E1_D2500_f21_draw4,10,2498,7,6,13,0.520416,0,5.0,44
E1_D2500_f21_draw5,10,2498,50,27,77,3.082466,0,4.0,44
E1_D2500_f21_draw6,10,2498,23,13,36,1.441153,0,5.0,44
E1_D2500_f21_draw7,10,2498,58,56,114,4.563651,0,5.0,44
E1_D2500_f29_draw0,10,2498,20,18,38,1.521217,0,5.0,44
E1_D2500_f29_draw1,10,2498,37,36,73,2.922338,0,4.0,44
E1_D2500_f29_draw2,10,2498,23,25,48,1.921537,0,5.0,44
E1_D2500_f29_draw3,10,2498,11,26,37,1.481185,0,5.0,43
E1_D2500_f29_draw4,10,2498,20,25,45,1.801441,0,5.0,44
E1_D2500_f29_draw5,10,2498,23,33,56,2.241793,0,4.0,44
E1_D2500_f29_draw6,10,2498,16,17,33,1.321057,0,5.0,43
E1_D2500_f29_draw7,10,2498,38,26,64,2.562050,0,4.0,44
E1_D5000_f1_draw0,10,2498,13,12,25,1.000801,0,5.0,44
E1_D5000_f1_draw1,10,2498,13,12,25,1.000801,0,5.0,44
E1_D5000_f1_draw2,10,2498,3,3,6,0.240192,0,5.0,44
E1_D5000_f1_draw3,10,2498,11,11,22,0.880705,0,5.0,43
E1_D5000_f1_draw4,10,2498,13,12,25,1.000801,0,5.0,44
E1_D5000_f1_draw5,10,2498,13,12,25,1.000801,0,5.0,44
