run,map,n,D_m,window,N,map_n,source,k,arm,S_display,method,median_m,effect_pct,draws,line,min_m,max_m
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,5,top,0.418,Min-Max,746.0,55.3,8,140,682.0,814.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,5,bottom,0.024,WCL,584.0,1.3,8,142,584.0,584.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,5,bottom,0.024,ABS,550.0,0.1,8,142,549.0,552.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,5,bottom,0.024,DIFF,1047.0,-0.1,8,142,1027.0,1079.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,5,bottom,0.024,Min-Max,494.0,2.8,8,142,485.0,495.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,5,random,0.266,WCL,655.0,13.5,8,144,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,5,random,0.266,ABS,598.0,8.8,8,144,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,5,random,0.266,DIFF,847.0,-19.1,8,144,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,5,random,0.266,Min-Max,598.0,24.4,8,144,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,top,0.48,WCL,743.0,28.7,8,145,732.0,751.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,top,0.48,ABS,620.0,12.9,8,145,571.0,632.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,top,0.48,DIFF,874.0,-16.6,8,145,804.0,915.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,top,0.48,Min-Max,729.0,51.7,8,145,690.0,813.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,bottom,0.038,WCL,584.0,1.3,8,147,581.0,585.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,bottom,0.038,ABS,551.0,0.3,8,147,548.0,553.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,bottom,0.038,DIFF,1080.0,3.0,8,147,1040.0,1115.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,bottom,0.038,Min-Max,490.0,2.0,8,147,484.0,495.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,random,0.233,WCL,660.0,14.3,8,149,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,random,0.233,ABS,596.0,8.6,8,149,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,random,0.233,DIFF,839.0,-20.0,8,149,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,6,random,0.233,Min-Max,577.0,20.1,8,149,,
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,7,top,0.533,WCL,1314.0,127.7,8,150,1278.0,1371.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,7,top,0.533,ABS,945.0,72.1,8,150,900.0,1000.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,7,top,0.533,DIFF,1289.0,23.0,8,150,1135.0,1449.0
O26M71_N4P7_D5000_W10,official26_common_minus71.json,4.7,5000,10,2494,26,results/O26M71_N4P7_D5000_W10.txt,7,top,0.533,Min-Max,1209.0,151.5,8,150,1129.0,1291.0
