map,window,N,k,added,exhausted_n,newly_exhausted_n,C_pct,delta_C_pp,S_pct,top_ids
official27_common.json,10,2498,24,23,2470,51,98.8791032826261,2.0416333066453163,99.7406206577119,"14,69,27,32,9,2,10,5,11,18,1,4,20,19,6,12,17,7,25,70,34,15,37,23"
official27_common.json,10,2498,25,50,2482,12,99.35948759007206,0.4803843074459567,99.85178323297824,"14,69,27,32,9,2,10,5,11,18,1,4,20,19,6,12,17,7,25,70,34,15,37,23,50"
official27_common.json,10,2498,26,71,2493,11,99.79983987189752,0.4403522818254604,99.9536822603057,"14,69,27,32,9,2,10,5,11,18,1,4,20,19,6,12,17,7,25,70,34,15,37,23,50,71"
official27_common.json,10,2498,27,33,2498,5,100.0,0.20016012810248196,100.0,"14,69,27,32,9,2,10,5,11,18,1,4,20,19,6,12,17,7,25,70,34,15,37,23,50,71,33"
official27_common.json,5,2498,1,14,0,0,0.0,0.0,10.77782374844849,14
official27_common.json,5,2498,2,69,0,0,0.0,0.0,20.448903599503517,"14,69"
official27_common.json,5,2498,3,9,3,3,0.12009607686148918,0.12009607686148918,27.978899462143154,"14,69,9"
official27_common.json,5,2498,4,27,27,24,1.0808646917534028,0.9607686148919135,35.47786512205213,"14,69,9,27"
official27_common.json,5,2498,5,32,135,108,5.4043234587670135,4.323458767013611,42.8113363673976,"14,69,9,27,32"
official27_common.json,5,2498,6,2,146,11,5.844675740592474,0.4403522818254604,50.09309060819197,"14,69,9,27,32,2"
official27_common.json,5,2498,7,10,512,366,20.496397117694155,14.651721377101682,56.48531237070748,"14,69,9,27,32,2,10"
official27_common.json,5,2498,8,5,528,16,21.136909527622098,0.6405124099279423,61.93628465039305,"14,69,9,27,32,2,10,5"
official27_common.json,5,2498,9,11,602,74,24.09927942353883,2.9623698959167335,66.85974348365743,"14,69,9,27,32,2,10,5,11"
official27_common.json,5,2498,10,18,810,208,32.42594075260208,8.326661329063251,71.50393049234587,"14,69,9,27,32,2,10,5,11,18"
official27_common.json,5,2498,11,1,1058,248,42.35388310648519,9.927942353883108,75.65163425734382,"14,69,9,27,32,2,10,5,11,18,1"
official27_common.json,5,2498,12,20,1246,188,49.879903923138514,7.526020816653323,79.77865122052131,"14,69,9,27,32,2,10,5,11,18,1,20"
official27_common.json,5,2498,13,4,1380,134,55.24419535628503,5.3642914331465175,82.6748034753827,"14,69,9,27,32,2,10,5,11,18,1,20,4"
official27_common.json,5,2498,14,6,1539,159,61.60928742994396,6.365092073658928,85.37443111294994,"14,69,9,27,32,2,10,5,11,18,1,20,4,6"
official27_common.json,5,2498,15,19,1675,136,67.05364291433146,5.44435548438751,87.877534133223,"14,69,9,27,32,2,10,5,11,18,1,20,4,6,19"
official27_common.json,5,2498,16,12,1832,157,73.3386709367494,6.285028022417935,90.19445593711212,"14,69,9,27,32,2,10,5,11,18,1,20,4,6,19,12"
official27_common.json,5,2498,17,17,1912,80,76.5412329863891,3.2025620496397114,92.45966073645015,"14,69,9,27,32,2,10,5,11,18,1,20,4,6,19,12,17"
