run,map,n,D_m,window,N,map_n,source,f,fraction_pct_display,method,median_m,effect_pct,draws,line,min_m,max_m
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,6,22,DIFF,928.0,-15.9,8,80,743.0,1069.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,6,22,Min-Max,565.0,27.6,8,80,492.0,659.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,13,48,WCL,808.0,46.9,8,82,600.0,947.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,13,48,ABS,663.0,18.3,8,82,629.0,880.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,13,48,DIFF,966.0,-12.5,8,82,873.0,1061.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,13,48,Min-Max,702.0,58.6,8,82,547.0,867.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,20,74,WCL,1611.0,192.8,8,84,804.0,2436.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,20,74,ABS,988.0,76.4,8,84,827.0,1392.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,20,74,DIFF,1190.0,7.8,8,84,1057.0,1663.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,20,74,Min-Max,1038.0,134.5,8,84,784.0,1372.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,27,100,WCL,3015.0,448.1,8,86,2543.0,3347.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,27,100,ABS,1538.0,174.5,8,86,1370.0,1763.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,27,100,DIFF,1927.0,74.5,8,86,1575.0,1988.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,27,100,Min-Max,1980.0,347.3,8,86,1371.0,2443.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,1,3,WCL,597.0,0.5,8,76,594.0,623.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,1,3,ABS,555.0,-0.1,8,76,548.0,573.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,1,3,DIFF,1046.0,-3.4,8,76,844.0,1082.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,1,3,Min-Max,508.0,6.1,8,76,479.0,548.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,4,12,WCL,628.0,5.8,8,78,603.0,650.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,4,12,ABS,585.0,5.2,8,78,553.0,619.0
O32M71_N4P7_D10000_W10,official32_minus71.json,4.7,10000,10,2498,32,results/O32M71_N4P7_D10000_W10.txt,4,12,DIFF,979.0,-9.6,8,78,794.0,1133.0
