run,map,n,D_m,window,N,map_n,source,displacement_m,family,method,median_m,effect_pct,line
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,iso,ABS,2941.0,429.3,238
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,iso,DIFF,3338.0,208.3,238
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,iso,Min-Max,3200.0,568.3,238
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,coherent,WCL,9732.0,1539.1,239
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,coherent,ABS,4809.0,765.4,239
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,coherent,DIFF,9823.0,807.3,239
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,coherent,Min-Max,9706.0,1926.9,239
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,inward,WCL,8062.0,1257.9,240
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,inward,ABS,4868.0,776.2,240
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,inward,DIFF,5764.0,432.3,240
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,10000,inward,Min-Max,7495.0,1465.1,240
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,250,outward,WCL,566.0,-4.7,289
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,250,outward,ABS,523.0,-5.9,289
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,250,outward,DIFF,1045.0,-3.5,289
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,250,outward,Min-Max,469.0,-2.0,289
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,250,iso x8 med,WCL,597.0,0.6,290
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,250,iso x8 med,ABS,586.0,5.6,290
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,250,iso x8 med,DIFF,1153.0,6.5,290
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,250,iso x8 med,Min-Max,487.0,1.7,290
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,500,outward,WCL,591.0,-0.4,291
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,500,outward,ABS,660.0,18.8,291
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,500,outward,DIFF,1112.0,2.7,291
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,500,outward,Min-Max,515.0,7.5,291
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,500,iso x8 med,WCL,594.0,0.1,292
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,500,iso x8 med,ABS,611.0,10.0,292
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,500,iso x8 med,DIFF,1166.0,7.7,292
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,500,iso x8 med,Min-Max,494.0,3.1,292
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,1000,outward,WCL,897.0,51.1,293
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,1000,outward,ABS,784.0,41.1,293
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,1000,outward,DIFF,1469.0,35.7,293
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,1000,outward,Min-Max,854.0,78.3,293
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,1000,iso x8 med,WCL,841.0,41.7,294
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,1000,iso x8 med,ABS,800.0,43.9,294
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,1000,iso x8 med,DIFF,1577.0,45.7,294
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,1000,iso x8 med,Min-Max,627.0,30.9,294
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,2500,outward,WCL,2179.0,267.0,295
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,2500,outward,ABS,1025.0,84.4,295
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,2500,outward,DIFF,1667.0,54.0,295
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,2500,outward,Min-Max,1900.0,296.8,295
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,2500,iso x8 med,WCL,1622.0,173.2,296
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,2500,iso x8 med,ABS,1141.0,105.4,296
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,2500,iso x8 med,DIFF,1807.0,66.9,296
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,2500,iso x8 med,Min-Max,1159.0,142.0,296
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,5000,outward,WCL,4526.0,662.2,297
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,5000,outward,ABS,1709.0,207.7,297
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,5000,outward,DIFF,1996.0,84.4,297
O32M71_N4P7_D5000_W10,official32_minus71.json,4.7,5000,10,2498,32,results/O32M71_N4P7_D5000_W10.txt,5000,outward,Min-Max,4037.0,742.9,297
